name,GP,MPG,FG_percentage,FT_percentage,three_point_percentage,RPG,APG,STPG,BPG,TOPG,PPG,image,position
James Harden,68,37.3,0.436,0.879,4.8,6.5,7.7,2.2,0.8,5.1,36.1,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/james-harden.png,1
Giannis Antetokounmpo,65,33,0.58,0.727,0.7,12.7,6,1.3,1.4,3.8,27.5,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/giannis-antetokounmpo.png,4
Anthony Davis,55,33.3,0.518,0.794,0.9,12,3.9,1.6,2.4,2,26.2,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/anthony-davis.png,4
LeBron James,51,35.3,0.514,0.664,2,8.5,8,1.3,0.6,3.5,27.5,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/lebron-james.png,3
Joel Embiid,59,33.8,0.481,0.816,1.2,13.8,3.5,0.7,1.9,3.6,27.5,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/joel-embiid.png, 5
Russell Westbrook,63,35.9,0.429,0.652,1.6,11.1,10.4,2,0.5,4.7,23.2,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/russell-westbrook.png,1
Karl-Anthony Towns,68,33.1,0.524,0.832,1.9,12.3,3.3,0.9,1.7,3,24.6,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/karl-anthony-towns.png,5
Kevin Durant,67,35.4,0.513,0.883,1.9,6.6,5.7,0.8,1.1,3,27.2,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/kevin-durant.png,3
Paul George,68,36.6,0.44,0.835,3.8,8.2,4.2,2.2,0.5,2.7,28.2,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/paul-george.png,3
Stephen Curry,59,34.4,0.472,0.912,5.1,5.3,5.2,1.4,0.4,2.9,28,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/stephen-curry.png,1
Nikola Jokic,68,31.5,0.509,0.836,1.1,10.7,7.5,1.4,0.7,3.2,20.3,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/nikola-jokic.png,5
Kawhi Leonard,52,34.5,0.496,0.853,1.9,7.5,3.3,1.8,0.4,2.1,27,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/kawhi-leonard.png,3
Damian Lillard,70,35.4,0.452,0.911,2.9,4.5,6.7,1.2,0.4,2.7,26.3,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/damian-lillard.png,1
Kyrie Irving,60,33.1,0.492,0.869,2.6,5.1,7,1.5,0.5,2.6,23.9,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/kyrie-irving.png,1
Bradley Beal,72,37.7,0.475,0.82,2.6,5.3,5.6,1.5,0.8,2.9,26,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/bradley-beal.png,2
Nikola Vucevic,71,31.3,0.52,0.787,1,12.2,3.9,1,1.2,2,20.6,https://www.washingtonpost.com/graphics/sports/nba-top-100-players-2016/images/nikola-vucevic.png,5
Blake Griffin,67,35.3,0.468,0.745,2.5,7.6,5.4,0.7,0.4,3.6,24.7,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/blake-griffin.png,4
Devin Booker,57,35.2,0.456,0.856,2.1,4.2,6.8,0.9,0.2,4.1,25.5,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/devin-booker.png,2
Jrue Holiday,67,35.9,0.472,0.768,1.8,5,7.7,1.6,0.8,3.1,21.2,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/jrue-holiday.png,1
Ben Simmons,71,34.5,0.569,0.603,0,9,7.8,1.4,0.7,3.5,17.1,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/ben-simmons.png,1
